ISBN,Buchtitel,Auflage,Publikationsort,Publisher,Publikationsjahr,Seitenzahl,Verfasser,Herausgeber,Übersetzer,keineRolle,sonstigeRolle,Gattung_Genre,Sprache,SpracheOriginal
9783748533009; 3748533004,Wie eine Schneeflocke im Wind,4. Auflage,Berlin,epubli,2019,172,,,,"Klein, Holger Olaf",,"Lyrik, Dramatik",ger,
9783750407350; 3750407355,Wortgezwitscher,1. Auflage,Norderstedt,BoD – Books on Demand,2019,56,,,,"Prusseit, Luisa",,Lyrik,ger,
9783748550488; 3748550480,Zanderman: Die wahnsinnigen Geschichten eines Nichtwahnsinnigen,1. Auflage,Berlin,epubli,2019,132,,,,"Zander, Ronald Ronny",,Romanhafte Biographien,ger,
9783750409682; 3750409684,Zirinis Zauberstube,1. Auflage,Norderstedt,BoD – Books on Demand,2019,112,,,,"Gundel, Matthias",,Lyrik,ger,
9783748543350; 3748543352,Zugfahrten ins depressive Milieu,10. Auflage,Berlin,epubli,2019,164,,,,"Bury, Kevin",,Romanhafte Biographien,ger,
9783748500254; 3748500254,Zugfahrten ins depressive Milieu,2. Auflage,Berlin,epubli,2019,160,,,,"Bury, Kevin",,Romanhafte Biographien,ger,
9783961035588; 396103558X,Zweimal getroffen und doch daneben!,,Remscheid,Rediroma-Verlag,2019,306,"Christl, Joh. R. M.",,,,,Fiktionale Darstellung; Romanhafte Biographien,ger,
9783746795072; 3746795079,200 Stufen über der Stadt,8. Auflage,Berlin,epubli,2018,152,,,,"Heinig, Silke",,Romanhafte Biographien,ger,
9783200054646; 3200054646,3000 Tonnen Kieselerde reichen nicht aus die Welt zu verbessern und viele weitere Geschichten,1. Auflage,Wien,Christian Seirer,2018,274,Lunfisch,,,,Lunfisch,"Bildband; Fiktionale Darstellung; Humor, Satire",ger,
9783748184980; 3748184980,Allerlei Geschichten mit Fotos und Gedichten,1. Auflage,Norderstedt,Books on Demand,2018,88,,,,"Bögl, Helga",,Lyrik,ger,
9783746724492; 374672449X,Alles außer Sanssouci,5. Auflage,Berlin,epubli,2018,180,,,,"Wullstein, Renate",,Romanhafte Biographien,ger,
9783752820713; 3752820713,Alles Mögliche,1. Auflage,Norderstedt,Books on Demand,2018,96,,,,"Händler, Melanie H.",,Lyrik,ger,
9783939604730; 3939604739,Alte Eisenacher Geschichten,"illustrierte Ausgabe, bearbeitete Ausgabe",Eisenach,Lorenz.Publishing,2018,52,"Rasch, Marie","Demmler-Lorenz, Gabriele",,,,Fiktionale Darstellung; Erzählende Literatur: Hauptwerk vor 1945,ger,
9783746778488; 3746778484,"Anthologie ""Nacht der Poesie"" Oderlandautoren/22. Nacht der Poesie 2018",5. Auflage,Berlin,epubli,2018,112,"Ruhlig, Lothar; Marchand, Peter","Marchand, Peter",,,,"Lyrik, Dramatik",ger,
9783200053427,Auf den Weg kommen,2. Auflage,Wien,Brigitte Hellebrand,2018,72,"Hellebrand, Brigitte",,,,,Anthologie; Lyrik,ger,
9783200056343,Aus mir heraus,1. Auflage,Wien,Brigitte Hellebrand,2018,51,"Hellebrand, Brigitte",,,,,Anthologie; Lyrik,ger,
9783752896503; 3752896507,Blütenlese,1. Auflage,Norderstedt,Books on Demand,2018,120,,,,"Stern, Carmen K.",,Lyrik,ger,
9783746705538; 3746705533,Blumfeld ein älterer Junggeselle,1. Auflage,Berlin,epubli,2018,176,,,,"Kafka, Franz; Skrziepietz, Andreas",,Erzählende Literatur; Erzählende Literatur: Hauptwerk vor 1945,ger,
