"person_id","person_name","objekt_typ","rolle","objekt_id","publikationsjahr"
"P6570","Hefti, Miriam","Literaturwettbewerb Ausgabe","Jurymitglied","WA107",2011
"P1385","Bertini, Hanna","Buch","VerfasserIn Buch","9783959962155",2021
"P7826","Jagst, Antje","Buch","Sonstige Rolle Buch","9783957200082",2014
"P18366","Vaucher, Thomas","Buch","VerfasserIn Buch","9783981648157",2016
"P13289","Pfüller, Lothar","Buch","Sonstige Rolle Buch","9783960080725",2015
"P8219","Kaiser, Vanessa","Buch","Sonstige Rolle Buch","9783950300222",2011
"P14699","Runge, Doris","Buch","Sonstige Rolle Buch","9783898766920",2013
"P9520","Krösche, Dana","Buch","Sonstige Rolle Buch","9783863320058",2012
"P6401","Hartmann, Alfred","Buch","VerfasserIn Buch","9783034016018",2021
"P2246","Brüstle, Ruben","Buch","VerfasserIn Buch","9783940830449",2017
"P7444","Huberth, Joe","Buch","Sonstige Rolle Buch","9783944176468",2014
"P7184","Hoffboll, Jonathan","Buch","Sonstige Rolle Buch","9783867301930",2021
"P1150","Bekker, Alfred","Buch","Unklare Rolle Buch","9783752977936",2020
"P19515","Wisser, Daniel","Buch","VerfasserIn Buch","9783900965617",2023
"P17835","Thieswald-Schechter, Beate","Buch","VerfasserIn Buch","9783732320981",2015
"P15556","Schmit, Paul","Buch","VerfasserIn Buch","9783347949287",2023
"P9069","Koinsel, Males","Buch","Sonstige Rolle Buch","9783956310966",2013
"P18535","Vonlanthen, Isabelle","Literaturwettbewerb Ausgabe","Jurymitglied","WA147",2014
"P13253","Pfeiffer, Angie","Buch","Sonstige Rolle Buch","9783981648133",2015
"P9112","Kolozs, Martin","Buch","VerfasserIn Buch","9783990282410",2014
"P5352","Glißmann, Heyka","Buch","VerfasserIn Buch","9783981764628",2015
"P13307","Phillips, Mirjam","Buch","VerfasserIn Buch","9783954413157",2016
"P17726","Tekook, Wolf","Buch","Sonstige Rolle Buch","9783868585001",2009
"P5054","Garver, Rose","Buch","VerfasserIn Buch","9783750711303",2021
"P7194","Hoffmann, Bernhard","Buch","VerfasserIn Buch","9783755778547",2022
"P8731","Kittlinger, Bernd","Buch","Sonstige Rolle Buch","9783944810027",2016
"P13983","Reese, Ruby Tyler","Buch","VerfasserIn Buch","9783750714472",2022
"P13494","Polt-Heinzl, Evelyne","Buch","HerausgeberIn Buch","9783150191170",2014
"P6344","Hardmann, Clemens","Buch","Sonstige Rolle Buch","9783981292626",2011
"P15326","Schirmer, Michael","Buch","VerfasserIn Buch","9783710331817",2017
"P10166","Leder, Werner","Buch","VerfasserIn Buch","9783930730636",2009
"P7229","Hoffsümmer, Willi","Buch","VerfasserIn Buch","9783843612593",2020
"P1240","Benson, B. K.","Buch","VerfasserIn Buch","9783957447630",2015
"P4138","Fabich, Birgit","Buch","HerausgeberIn Buch","9783000266898",2009
"P3162","Denkel, Wolfgang","Buch","VerfasserIn Buch","9783854207702",2010
"P2354","Burmeister, Saskia V.","Buch","Sonstige Rolle Buch","9783942229685",2012
"P16926","Staats, Dennis","Buch","VerfasserIn Buch","9783903248595",2020
"P12697","Oberländer, Frauke","Buch","Sonstige Rolle Buch","9783942229944",2013
