Column1;author_username;author_url;text_id;url;text_title;medium_orig;fandom_categories;chapter_amount;creation_date;update_date;wordcount;genre;age_restriction;endorsement_amount;review_amount
7562;Greenleaf;https://www.fanfiktion.de/u/Greenleaf;50b1530e0001d2570c907530;https://www.fanfiktion.de/s/50b1530e0001d2570c907530/1/Dein-Lachen;Dein Lachen;Prosa;Kurzgeschichten;1;25.11.2012;25.11.2012;704;KurzgeschichteDrama;P12;0;2
7563;Teatime;https://www.fanfiktion.de/u/Teatime;50b13998000281be0c907530;https://www.fanfiktion.de/s/50b13998000281be0c907530/1/Das-Maedchen-aus-der-Gruenstrasse;Das Mädchen aus der Grünstraße;Prosa;Kurzgeschichten;1;24.11.2012;24.11.2012;1089;KurzgeschichteLiebesgeschichte;P12;0;2
7564;chaoticgirl;https://www.fanfiktion.de/u/chaoticgirl;50b0e93b00008f320c907530;https://www.fanfiktion.de/s/50b0e93b00008f320c907530/1/Das-Leben-ist-k-ein-Arschloch;Das Leben ist (k)ein Arschloch;Prosa;Kurzgeschichten;1;24.11.2012;24.11.2012;763;KurzgeschichteAllgemein;P12;0;0
7565;Seifenblasenglueck;https://www.fanfiktion.de/u/Seifenblasenglueck;50b01cbc0000f1850c907530;https://www.fanfiktion.de/s/50b01cbc0000f1850c907530/1/Welten-trennen-uns;Welten trennen uns;Prosa;Kurzgeschichten;1;24.11.2012;24.11.2012;393;KurzgeschichteDrama;P12;0;2
7566;Herzkopfueber;https://www.fanfiktion.de/u/Herzkopfueber;50883e000001e52d0c907530;https://www.fanfiktion.de/s/50883e000001e52d0c907530/1/Deep-Shit;Deep Shit.;Prosa;Kurzgeschichten;2;24.10.2012;23.11.2012;3178;GeschichteAllgemein;P16;0;2
7567;Lio-Lotta;https://www.fanfiktion.de/u/Lio-Lotta;50afa9a40002932a0c907530;https://www.fanfiktion.de/s/50afa9a40002932a0c907530/1/kein-Titel;kein Titel;Prosa;Kurzgeschichten;1;23.11.2012;23.11.2012;447;GeschichteAllgemein;P12;0;1
7568;Lio-Lotta;https://www.fanfiktion.de/u/Lio-Lotta;50af9f3d0002932a0c907530;https://www.fanfiktion.de/s/50af9f3d0002932a0c907530/1/Masken;Masken;Prosa;Kurzgeschichten;1;23.11.2012;23.11.2012;314;GeschichteAllgemein;P12;0;0
7569;schokoladenherzchenx;https://www.fanfiktion.de/u/schokoladenherzchenx;50af98370002b58f0c907530;https://www.fanfiktion.de/s/50af98370002b58f0c907530/1/HEATHER-Oder-Licht-und-Schatten;HEATHER. Oder: Licht und Schatten;Prosa;Kurzgeschichten;1;23.11.2012;23.11.2012;90;KurzgeschichteSchmerz/Trost;P12;0;1
7570;leseratte1978;https://www.fanfiktion.de/u/leseratte1978;50a3e1d4000151210c907530;https://www.fanfiktion.de/s/50a3e1d4000151210c907530/1/Daemonen-der-Vergangenheit-Info-im-Profil;~ Dämonen der Vergangenheit ~ ( Info im Profil );Prosa;Kurzgeschichten;3;14.11.2012;22.11.2012;3435;KurzgeschichteDrama, Liebesgeschichte;P18;0;5
7571;ThronGrad;https://www.fanfiktion.de/u/ThronGrad;50ae4b77000252270c907530;https://www.fanfiktion.de/s/50ae4b77000252270c907530/1/Mein-letzter-Abend;Mein letzter Abend;Prosa;Kurzgeschichten;1;22.11.2012;22.11.2012;481;KurzgeschichteDrama, Angst;P12;0;1
